node_id,name,date,min_c,avg_c,max_c
PHX-01,Downtown,2026-08-24,32.42,36.53,40.51
PHX-02,Sky Harbor,2026-08-24,32.2,36.42,40.38
PHX-03,Tempe,2026-08-24,31.27,36.04,40.27
PHX-04,Mesa,2026-08-24,31.2,35.76,40.15
PHX-05,Chandler,2026-08-24,30.64,35.57,40.18
PHX-06,Gilbert,2026-08-24,30.2,35.29,40.06
PHX-07,Scottsdale,2026-08-24,31.29,35.72,39.95
PHX-08,Glendale,2026-08-24,30.85,36.21,40.31
PHX-09,Avondale,2026-08-24,32.03,36.45,40.3
PHX-10,Goodyear,2026-08-24,32.03,36.45,40.3
PHX-11,Queen Creek,2026-08-24,29.66,35.05,39.97
PHX-12,Deer Valley,2026-08-24,31.56,35.97,40.23
PHX-13,Encanto,2026-08-24,32.29,36.55,40.5
PHX-14,Biltmore,2026-08-24,31.51,36.05,40.22
PHX-15,Papago Park,2026-08-24,30.85,35.55,39.91
PHX-16,South Mountain,2026-08-24,24.84,33.92,38.94
PHX-17,Saguaro NP,2026-08-24,27.35,34.6,39.84
PHX-18,Roosevelt Row,2026-08-24,32.31,36.53,40.5
PHX-19,Garfield Ctr,2026-08-24,32.17,36.48,40.49
PHX-20,Camelback,2026-08-24,31.17,35.57,39.84
PHX-01,Downtown,2026-08-25,32.59,37.7,42.03
PHX-02,Sky Harbor,2026-08-25,32.59,37.74,42.02
PHX-03,Tempe,2026-08-25,32.14,37.57,42.05
PHX-04,Mesa,2026-08-25,31.34,37.3,41.96
PHX-05,Chandler,2026-08-25,30.63,37.12,41.94
PHX-06,Gilbert,2026-08-25,29.83,36.87,41.88
PHX-07,Scottsdale,2026-08-25,31.75,37.36,41.77
PHX-08,Glendale,2026-08-25,31.42,37.28,41.81
PHX-09,Avondale,2026-08-25,31.59,37.36,41.76
PHX-10,Goodyear,2026-08-25,31.59,37.36,41.76
PHX-11,Queen Creek,2026-08-25,29.22,36.63,41.8
PHX-12,Deer Valley,2026-08-25,30.94,37.15,41.96
PHX-13,Encanto,2026-08-25,32.01,37.65,42.01
PHX-14,Biltmore,2026-08-25,32.25,37.53,42.01
PHX-15,Papago Park,2026-08-25,31.13,37.21,41.71
PHX-16,South Mountain,2026-08-25,32.09,36.78,40.78
PHX-17,Saguaro NP,2026-08-25,29.02,36.45,41.71
PHX-18,Roosevelt Row,2026-08-25,32.59,37.72,42.04
PHX-19,Garfield Ctr,2026-08-25,32.39,37.66,42.05
PHX-20,Camelback,2026-08-25,31.86,37.26,41.71
PHX-01,Downtown,2026-08-26,32.05,37.01,42.91
PHX-02,Sky Harbor,2026-08-26,31.84,36.91,42.82
PHX-03,Tempe,2026-08-26,31.54,36.76,42.73
PHX-04,Mesa,2026-08-26,31.36,36.38,42.66
PHX-05,Chandler,2026-08-26,31.52,36.61,42.55
PHX-06,Gilbert,2026-08-26,30.89,36.18,42.5
PHX-07,Scottsdale,2026-08-26,31.2,36.44,42.55
PHX-08,Glendale,2026-08-26,31.71,36.79,42.64
PHX-09,Avondale,2026-08-26,32.21,36.83,42.67
PHX-10,Goodyear,2026-08-26,32.21,36.83,42.67
PHX-11,Queen Creek,2026-08-26,30.51,36.01,42.43
PHX-12,Deer Valley,2026-08-26,31.34,36.33,42.62
PHX-13,Encanto,2026-08-26,32.13,36.91,42.84
PHX-14,Biltmore,2026-08-26,31.67,36.68,42.7
PHX-15,Papago Park,2026-08-26,31.23,36.55,42.41
PHX-16,South Mountain,2026-08-26,32.45,36.61,41.86
PHX-17,Saguaro NP,2026-08-26,30.71,36.06,42.33
PHX-18,Roosevelt Row,2026-08-26,31.92,36.93,42.89
PHX-19,Garfield Ctr,2026-08-26,31.81,36.82,42.89
PHX-20,Camelback,2026-08-26,31.56,36.46,42.47
